Serie;;X;Y;Center X;Center Y;;;;
6;14;98.565;107.223;113.035;129.149;;;;
6;15;104.978;99.206;113.035;129.149;;;;
6;16;102.092;97.924;113.035;129.149;;;;
6;17;79.966;100.810;113.035;129.149;;;;
6;18;89.586;94.076;113.035;129.149;;;;
6;19;91.831;92.472;113.035;129.149;;;;
6;20;91.510;83.173;113.035;129.149;;;;
6;21;96.962;82.532;113.035;129.149;;;;
6;22;106.582;71.308;113.035;129.149;;;;
6;23;104.658;82.852;113.035;129.149;;;;
6;24;114.278;86.380;113.035;129.149;;;;
6;25;117.805;86.380;113.035;129.149;;;;
6;26;118.767;81.249;113.035;129.149;;;;
6;27;121.653;84.456;113.035;129.149;;;;
6;28;112.354;97.282;113.035;129.149;;;;
6;29;110.430;94.076;113.035;129.149;;;;
6;30;120.691;92.152;113.035;129.149;;;;
6;31;142.817;98.886;113.035;129.149;;;;
6;32;147.627;104.658;113.035;129.149;;;;
6;33;152.758;102.734;113.035;129.149;;;;
6;34;158.209;98.886;113.035;129.149;;;;
6;35;158.530;104.016;113.035;129.149;;;;
6;36;146.024;112.354;113.035;129.149;;;;
6;37;144.420;116.202;113.035;129.149;;;;
6;38;147.306;122.615;113.035;129.149;;;;
6;39;143.458;122.936;113.035;129.149;;;;
6;40;145.703;129.990;113.035;129.149;;;;
6;41;164.622;123.256;113.035;129.149;;;;
6;42;159.812;123.898;113.035;129.149;;;;
6;43;163.981;112.995;113.035;129.149;;;;
6;44;169.753;136.404;113.035;129.149;;;;
6;45;153.399;152.116;113.035;129.149;;;;
6;46;147.306;143.138;113.035;129.149;;;;
6;47;138.648;149.872;113.035;129.149;;;;
6;48;141.214;160.774;113.035;129.149;;;;
6;49;126.784;166.867;113.035;129.149;;;;
6;50;124.218;176.166;113.035;129.149;;;;
6;51;129.349;181.938;113.035;129.149;;;;
6;52;122.936;185.466;113.035;129.149;;;;
6;53;114.598;167.508;113.035;129.149;;;;
6;54;122.294;155.964;113.035;129.149;;;;
6;55;115.560;157.888;113.035;129.149;;;;
6;56;110.109;160.133;113.035;129.149;;;;
6;57;103.696;160.454;113.035;129.149;;;;
6;58;101.451;165.584;113.035;129.149;;;;
6;59;96.000;167.508;113.035;129.149;;;;
6;60;94.076;157.888;113.035;129.149;;;;
6;61;102.734;178.411;113.035;129.149;;;;
6;62;108.185;188.672;113.035;129.149;;;;
6;63;92.472;174.563;113.035;129.149;;;;
6;64;81.570;173.280;113.035;129.149;;;;
6;65;72.591;166.867;113.035;129.149;;;;
6;66;70.346;153.720;113.035;129.149;;;;
6;67;80.608;150.834;113.035;129.149;;;;
6;68;80.287;160.774;113.035;129.149;;;;
6;69;67.460;130.632;113.035;129.149;;;;
6;70;74.515;131.594;113.035;129.149;;;;
6;71;76.760;135.762;113.035;129.149;;;;
6;72;75.477;122.615;113.035;129.149;;;;
6;73;72.912;117.484;113.035;129.149;;;;
6;74;61.688;119.408;113.035;129.149;;;;
6;75;55.916;124.860;113.035;129.149;;;;
6;76;52.710;119.729;113.035;129.149;;;;
6;77;66.498;96.962;113.035;129.149;;;;
6;78;130.632;118.446;113.035;129.149;;;;
6;79;135.762;116.202;113.035;129.149;;;;
6;80;138.007;92.472;113.035;129.149;;;;
6;81;139.290;83.173;113.035;129.149;;;;
5;1;78.884;89.226;107.985;123.858;;;;
5;2;80.447;96.641;107.985;123.858;;;;
5;3;84.616;99.206;107.985;123.858;;;;
5;4;90.067;103.696;107.985;123.858;;;;
5;5;95.198;91.831;107.985;123.858;;;;
5;6;100.008;87.983;107.985;123.858;;;;
5;7;106.101;86.059;107.985;123.858;;;;
5;8;122.455;97.924;107.985;123.858;;;;
5;9;127.585;95.358;107.985;123.858;;;;
5;10;131.754;102.734;107.985;123.858;;;;
5;11;135.602;95.358;107.985;123.858;;;;
5;12;139.450;99.206;107.985;123.858;;;;
5;13;152.277;141.534;107.985;123.858;;;;
5;14;151.315;135.442;107.985;123.858;;;;
5;15;142.015;137.045;107.985;123.858;;;;
5;16;124.699;129.990;107.985;123.858;;;;
5;17;110.269;126.784;107.985;123.858;;;;
5;18;100.329;123.577;107.985;123.858;;;;
5;19;75.317;122.294;107.985;123.858;;;;
5;20;83.654;128.708;107.985;123.858;;;;
5;21;79.165;134.480;107.985;123.858;;;;
5;22;60.566;133.197;107.985;123.858;;;;
5;23;67.300;114.919;107.985;123.858;;;;
5;24;90.709;121.653;107.985;123.858;;;;
5;25;83.654;120.691;107.985;123.858;;;;
5;26;97.122;148.268;107.985;123.858;;;;
5;27;84.295;140.893;107.985;123.858;;;;
5;28;79.485;142.176;107.985;123.858;;;;
5;29;104.497;161.095;107.985;123.858;;;;
5;30;108.025;155.644;107.985;123.858;;;;
5;31;114.759;161.095;107.985;123.858;;;;
5;32;112.193;168.791;107.985;123.858;;;;
5;33;108.345;167.188;107.985;123.858;;;;
5;34;174.403;124.218;107.985;123.858;;;;
5;35;165.424;105.940;107.985;123.858;;;;
5;36;142.015;111.392;107.985;123.858;;;;
5;37;142.336;124.860;107.985;123.858;;;;
5;38;151.635;164.302;107.985;123.858;;;;
5;39;146.505;190.276;107.985;123.858;;;;
5;40;145.863;76.439;107.985;123.858;;;;
8;1;120.731;156.085;131.073;127.465;;;;
8;2;124.218;161.095;131.073;127.465;;;;
8;3;117.484;161.416;131.073;127.465;;;;
8;4;123.577;164.302;131.073;127.465;;;;
8;5;121.012;169.432;131.073;127.465;;;;
8;6;116.522;169.112;131.073;127.465;;;;
8;7;112.354;164.302;131.073;127.465;;;;
8;8;110.750;153.399;131.073;127.465;;;;
8;9;113.636;151.796;131.073;127.465;;;;
8;10;125.822;147.627;131.073;127.465;;;;
8;11;107.223;149.230;131.073;127.465;;;;
8;12;104.016;154.682;131.073;127.465;;;;
8;13;101.772;153.399;131.073;127.465;;;;
8;14;103.375;145.062;131.073;127.465;;;;
8;15;105.299;141.534;131.073;127.465;;;;
8;16;110.430;136.724;131.073;127.465;;;;
8;17;106.902;135.121;131.073;127.465;;;;
8;18;106.261;134.800;131.073;127.465;;;;
8;19;101.130;128.708;131.073;127.465;;;;
8;20;93.755;128.387;131.073;127.465;;;;
8;21;92.152;130.952;131.073;127.465;;;;
8;22;93.114;137.686;131.073;127.465;;;;
8;23;97.603;135.762;131.073;127.465;;;;
8;24;98.886;139.931;131.073;127.465;;;;
8;25;92.152;147.306;131.073;127.465;;;;
8;26;95.679;148.589;131.073;127.465;;;;
8;27;93.755;155.644;131.073;127.465;;;;
8;28;99.206;159.171;131.073;127.465;;;;
8;29;93.755;165.905;131.073;127.465;;;;
8;30;89.266;144.741;131.073;127.465;;;;
8;31;87.342;147.627;131.073;127.465;;;;
8;32;93.114;144.100;131.073;127.465;;;;
8;33;78.684;140.252;131.073;127.465;;;;
8;34;76.118;146.344;131.073;127.465;;;;
8;35;75.156;138.328;131.073;127.465;;;;
8;36;82.211;134.159;131.073;127.465;;;;
8;37;79.004;129.028;131.073;127.465;;;;
8;38;76.118;125.822;131.073;127.465;;;;
8;39;74.515;116.843;131.073;127.465;;;;
8;40;86.380;121.332;131.073;127.465;;;;
8;41;100.168;116.522;131.073;127.465;;;;
8;42;104.016;111.392;131.073;127.465;;;;
8;43;97.603;108.185;131.073;127.465;;;;
8;44;93.755;105.299;131.073;127.465;;;;
8;45;84.776;105.620;131.073;127.465;;;;
8;46;90.548;100.168;131.073;127.465;;;;
8;47;97.282;97.282;131.073;127.465;;;;
8;48;98.886;102.734;131.073;127.465;;;;
8;49;103.375;102.413;131.073;127.465;;;;
8;50;102.092;90.869;131.073;127.465;;;;
8;51;115.560;98.565;131.073;127.465;;;;
8;52;118.767;91.831;131.073;127.465;;;;
8;53;120.370;96.641;131.073;127.465;;;;
8;54;119.729;79.646;131.073;127.465;;;;
8;55;112.354;79.325;131.073;127.465;;;;
8;56;124.860;81.249;131.073;127.465;;;;
8;57;125.501;87.021;131.073;127.465;;;;
8;58;130.311;89.586;131.073;127.465;;;;
8;59;131.594;94.717;131.073;127.465;;;;
8;60;130.632;82.852;131.073;127.465;;;;
8;61;134.800;170.715;131.073;127.465;;;;
8;62;128.066;176.166;131.073;127.465;;;;
8;63;125.180;171.036;131.073;127.465;;;;
8;64;114.598;176.166;131.073;127.465;;;;
8;65;131.273;162.698;131.073;127.465;;;;
8;66;131.273;168.470;131.073;127.465;;;;
8;67;133.838;159.812;131.073;127.465;;;;
8;68;131.273;157.568;131.073;127.465;;;;
8;69;141.534;145.382;131.073;127.465;;;;
8;70;142.496;154.040;131.073;127.465;;;;
8;71;137.045;155.323;131.073;127.465;;;;
8;72;143.138;159.492;131.073;127.465;;;;
